fabricante,modelo,codigo_modelo,url_modelo,href_original,texto_link,params
Audi,SQ5,SQ5,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=SQ5,catalogomodelo.asp?fabricante=Audi&modelo=SQ5,SQ5,"{'fabricante': ['Audi'], 'modelo': ['SQ5']}"
Audi,SQ5 Sportback,SQ5 Sportback,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=SQ5 Sportback,catalogomodelo.asp?fabricante=Audi&modelo=SQ5 Sportback,SQ5 Sportback,"{'fabricante': ['Audi'], 'modelo': ['SQ5 Sportback']}"
Audi,SQ6 Sportback E-tron,SQ6 Sportback E-tron,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=SQ6 Sportback E-tron,catalogomodelo.asp?fabricante=Audi&modelo=SQ6 Sportback E-tron,SQ6 Sportback E-tron,"{'fabricante': ['Audi'], 'modelo': ['SQ6 Sportback E-tron']}"
Audi,SQ8 E-tron,SQ8 E-tron,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=SQ8 E-tron,catalogomodelo.asp?fabricante=Audi&modelo=SQ8 E-tron,SQ8 E-tron,"{'fabricante': ['Audi'], 'modelo': ['SQ8 E-tron']}"
Audi,TT,TT,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=TT,catalogomodelo.asp?fabricante=Audi&modelo=TT,TT,"{'fabricante': ['Audi'], 'modelo': ['TT']}"
Audi,TT RS,TT RS,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=TT RS,catalogomodelo.asp?fabricante=Audi&modelo=TT RS,TT RS,"{'fabricante': ['Audi'], 'modelo': ['TT RS']}"
Audi,TT Roadster,TT Roadster,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=TT Roadster,catalogomodelo.asp?fabricante=Audi&modelo=TT Roadster,TT Roadster,"{'fabricante': ['Audi'], 'modelo': ['TT Roadster']}"
Audi,TTS,TTS,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=TTS,catalogomodelo.asp?fabricante=Audi&modelo=TTS,TTS,"{'fabricante': ['Audi'], 'modelo': ['TTS']}"
Avallone,TF,TF,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Avallone&modelo=TF,catalogomodelo.asp?fabricante=Avallone&modelo=TF,TF,"{'fabricante': ['Avallone'], 'modelo': ['TF']}"
BAIC,Arcfox T1,Arcfox T1,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=BAIC&modelo=Arcfox T1,catalogomodelo.asp?fabricante=BAIC&modelo=Arcfox T1,Arcfox T1,"{'fabricante': ['BAIC'], 'modelo': ['Arcfox T1']}"
BMW,116i,116i,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=BMW&modelo=116i,catalogomodelo.asp?fabricante=BMW&modelo=116i,116i,"{'fabricante': ['BMW'], 'modelo': ['116i']}"
BMW,118i,118i,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=BMW&modelo=118i,catalogomodelo.asp?fabricante=BMW&modelo=118i,118i,"{'fabricante': ['BMW'], 'modelo': ['118i']}"
BMW,120i,120i,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=BMW&modelo=120i,catalogomodelo.asp?fabricante=BMW&modelo=120i,120i,"{'fabricante': ['BMW'], 'modelo': ['120i']}"
